"Identifiant unique",Identifiant,Espèce,"Numéro nomenclatural","Nom retenu","Numéro nomenclatural nom retenu",Famille,"Référentiel taxonomique",Certitude,"Type d'observation","Source de la saisie",Spontanéité,Latitude,Longitude,"Référentiel Géographique",Pays,Commune,"Identifiant Commune","Floutage (niveau de localisation diffusé)",Altitude,Lieu-dit,Milieu,Date,Notes,"Programme de sciences participatives ou observatoire citoyen","Mots Clés","Lien vers l'observation sur IdentiPlante",Image(s),Auteur
urn:lsid:tela-botanica.org:cel:3802087,3802087,"Amaranthus retroflexus L. [1753]",4009,"Amaranthus retroflexus L.",4009,Amaranthaceae,bdtfx,certain,"observation de terrain",CEL,1,45.69634,4.73595,WGS84,France,,69043,précise,300,,,2021/09/12,"3e arrondissement -Rue Duphot",,,www.tela-botanica.org/appli:identiplante#obs~3802087,"https://api.tela-botanica.org/img:002500324O.jpg,https://api.tela-botanica.org/img:002500325O.jpg,https://api.tela-botanica.org/img:002500326O.jpg,https://api.tela-botanica.org/img:002500327O.jpg,https://api.tela-botanica.org/img:002500328O.jpg,https://api.tela-botanica.org/img:002500329O.jpg,https://api.tela-botanica.org/img:002500330O.jpg,https://api.tela-botanica.org/img:002500331O.jpg,https://api.tela-botanica.org/img:002500332O.jpg,https://api.tela-botanica.org/img:002500333O.jpg,https://api.tela-botanica.org/img:002500334O.jpg,https://api.tela-botanica.org/img:002500335O.jpg,https://api.tela-botanica.org/img:002500336O.jpg,https://api.tela-botanica.org/img:002500337O.jpg,https://api.tela-botanica.org/img:002500338O.jpg,","Liliane Roubaudi  (http://www.tela-botanica.org/profil:6865)"
urn:lsid:tela-botanica.org:cel:3802088,3802088,"Opuntia ficus-indica (L.) Mill. [1768]",45621,"Opuntia ficus-indica (L.) Mill.",45621,Cactaceae,bdtfx,certain,"observation de terrain",CEL,1,45.69634,4.73595,WGS84,France,,69043,précise,300,,,2021/09/12,"marché de la place Guichard",,,www.tela-botanica.org/appli:identiplante#obs~3802088,"https://api.tela-botanica.org/img:002500339O.jpg,https://api.tela-botanica.org/img:002500340O.jpg,https://api.tela-botanica.org/img:002500341O.jpg,https://api.tela-botanica.org/img:002500342O.jpg,","Liliane Roubaudi  (http://www.tela-botanica.org/profil:6865)"
urn:lsid:tela-botanica.org:cel:3802111,3802111,"Aesculus hippocastanum L. [1753]",1053,"Aesculus hippocastanum L.",1053,Sapindaceae,bdtfx,certain,"observation de terrain",CEL,1,45.94004,4.61607,WGS84,France,Theizé,69246,précise,435,,,2021/09/12,"Le Boitier",,,,,"Liliane Roubaudi  (http://www.tela-botanica.org/profil:6865)"
urn:lsid:tela-botanica.org:cel:3802112,3802112,"Crataegus monogyna Jacq. [1775]",19472,"Crataegus monogyna Jacq.",19472,Rosaceae,bdtfx,certain,"observation de terrain",CEL,1,45.94004,4.61607,WGS84,France,Theizé,69246,précise,435,,,2021/09/12,"Le Boitier",,,,,"Liliane Roubaudi  (http://www.tela-botanica.org/profil:6865)"
urn:lsid:tela-botanica.org:cel:3802113,3802113,"Helianthus annuus L. [1753]",75161,"Helianthus annuus L.",75161,Asteraceae,bdtfx,certain,"observation de terrain",CEL,1,45.94004,4.61607,WGS84,France,Theizé,69246,précise,435,,,2021/09/12,"Le Boitier",,,,,"Liliane Roubaudi  (http://www.tela-botanica.org/profil:6865)"
urn:lsid:tela-botanica.org:cel:3802114,3802114,"Rumex crispus L. [1753]",58698,"Rumex crispus L.",58698,Polygonaceae,bdtfx,certain,"observation de terrain",CEL,1,45.94004,4.61607,WGS84,France,Theizé,69246,précise,435,,,2021/09/12,"Le Boitier",,,www.tela-botanica.org/appli:identiplante#obs~3802114,"https://api.tela-botanica.org/img:002500410O.JPG,https://api.tela-botanica.org/img:002500411O.JPG,https://api.tela-botanica.org/img:002500412O.JPG,https://api.tela-botanica.org/img:002500413O.JPG,https://api.tela-botanica.org/img:002500414O.JPG,https://api.tela-botanica.org/img:002500415O.JPG,https://api.tela-botanica.org/img:002500416O.JPG,https://api.tela-botanica.org/img:002500417O.JPG,https://api.tela-botanica.org/img:002500418O.JPG,https://api.tela-botanica.org/img:002500419O.JPG,https://api.tela-botanica.org/img:002500420O.JPG,","Liliane Roubaudi  (http://www.tela-botanica.org/profil:6865)"
urn:lsid:tela-botanica.org:cel:3802115,3802115,"Viscum album L. [1753]",72719,"Viscum album L.",72719,Santalaceae,bdtfx,certain,"observation de terrain",CEL,1,45.94004,4.61607,WGS84,France,Theizé,69246,précise,435,,,2021/09/12,"Le Boitier",,,,,"Liliane Roubaudi  (http://www.tela-botanica.org/profil:6865)"
urn:lsid:tela-botanica.org:cel:3802462,3802462,"Impatiens parviflora DC. [1824]",35722,"Impatiens parviflora DC.",35722,Balsaminaceae,bdtfx,certain,"observation de terrain",CEL,1,46.18552,4.45087,WGS84,France,Propières,69161,précise,643,"Rte de la Croix d'Ajoux",,2021/09/15,,,,,,"Michel Gaubert  (http://www.tela-botanica.org/profil:27805)"
urn:lsid:tela-botanica.org:cel:3803314,3803314,"Vitex agnus-castus L. [1753]",72745,"Vitex agnus-castus L.",72745,Lamiaceae,bdtfx,certain,"observation de terrain",CEL,1,45.69634,4.73595,WGS84,France,,69043,précise,300,,,2021/09/24,"3e arrondissement - place Bahadouria",,,,,"Liliane Roubaudi  (http://www.tela-botanica.org/profil:6865)"
urn:lsid:tela-botanica.org:cel:3804329,3804329,"Petasites hybridus (L.) G.Gaertn., B.Mey. & Scherb. [1801]",75284,"Petasites hybridus (L.) G.Gaertn., B.Mey. & Scherb.",75284,Asteraceae,bdtfx,certain,"observation de terrain",CEL,1,46.16465,4.50262,WGS84,France,Chénelette,69054,précise,694,"Chemin de Tourvéon",,2021/07/05,,,,https://www.tela-botanica.org/appli:identiplante?#obs~3804329,"https://api.tela-botanica.org/img:002502335O.JPG, https://api.tela-botanica.org/img:002502336O.JPG","Michel Gaubert  (http://www.tela-botanica.org/profil:27805)"
urn:lsid:tela-botanica.org:cel:3804697,3804697,"Vitex agnus-castus L. [1753]",72745,"Vitex agnus-castus L.",72745,Lamiaceae,bdtfx,certain,"observation de terrain",CEL,1,45.69634,4.73595,WGS84,France,,69043,précise,300,,,2021/09/29,"3e arrondissement  place Bahadourian",,,www.tela-botanica.org/appli:identiplante#obs~3804697,"https://api.tela-botanica.org/img:002502612O.JPG,https://api.tela-botanica.org/img:002502613O.JPG,","Liliane Roubaudi  (http://www.tela-botanica.org/profil:6865)"
urn:lsid:tela-botanica.org:cel:3804698,3804698,"Glycine max (L.) Merr. [1917]",30452,"Glycine max (L.) Merr.",30452,Fabaceae,bdtfx,certain,"observation de terrain",CEL,1,45.77646,5.00448,WGS84,France,Meyzieu,69282,précise,203,,,2021/09/29,"champ cultivé",,,www.tela-botanica.org/appli:identiplante#obs~3804698,"https://api.tela-botanica.org/img:002502614O.JPG,https://api.tela-botanica.org/img:002502615O.JPG,https://api.tela-botanica.org/img:002502616O.JPG,https://api.tela-botanica.org/img:002502617O.JPG,https://api.tela-botanica.org/img:002502618O.JPG,https://api.tela-botanica.org/img:002502619O.JPG,https://api.tela-botanica.org/img:002502620O.JPG,https://api.tela-botanica.org/img:002502621O.JPG,","Liliane Roubaudi  (http://www.tela-botanica.org/profil:6865)"
